Date,Open,High,Low,Close,Volume
12/1/2020,3188.50,3248.95,3157.18,3220.08,4537000
12/2/2020,3221.65,3232.00,3173.26,3203.53,3129300
12/3/2020,3205.46,3228.64,3181.31,3186.73,2892000
12/4/2020,3198.21,3198.21,3158.76,3162.58,2913600
12/7/2020,3156.48,3180.76,3141.69,3158.00,2751300
12/8/2020,3158.90,3184.13,3120.02,3177.29,3286300
12/9/2020,3167.89,3174.43,3088.00,3104.20,4100800
12/10/2020,3088.99,3142.10,3076.00,3101.49,3030200
12/11/2020,3096.66,3118.67,3072.82,3116.42,3064700
12/14/2020,3143.00,3190.47,3126.00,3156.97,4155800
12/15/2020,3181.01,3188.50,3130.49,3165.12,3319500
12/16/2020,3176.01,3247.00,3163.68,3240.96,4427600
12/17/2020,3250.00,3263.51,3221.00,3236.08,3474300
12/18/2020,3243.99,3249.42,3171.60,3201.65,5995700
12/21/2020,3200.01,3226.97,3166.00,3206.18,3836800
12/22/2020,3202.84,3222.00,3180.08,3206.52,2369400
12/23/2020,3205.00,3210.13,3184.17,3185.27,2093800
12/24/2020,3193.90,3202.00,3169.00,3172.69,1451900
12/28/2020,3194.00,3304.00,3172.69,3283.96,5686800
12/29/2020,3309.94,3350.65,3281.22,3322.00,4872900
12/30/2020,3341.00,3342.10,3282.47,3285.85,3209300
12/31/2020,3275.00,3282.92,3241.20,3256.93,2957200
1/4/2021,3270.00,3272.00,3144.02,3186.63,4411400
1/5/2021,3166.01,3223.38,3165.06,3218.51,2655500
1/6/2021,3146.48,3197.51,3131.16,3138.38,4394800
1/7/2021,3157.00,3208.54,3155.00,3162.16,3514500
1/8/2021,3180.00,3190.64,3142.20,3182.70,3537700
1/11/2021,3148.01,3156.38,3110.00,3114.21,3683400
1/12/2021,3120.00,3142.14,3086.00,3120.83,3514600
1/13/2021,3128.44,3189.95,3122.08,3165.89,3321200
1/14/2021,3167.52,3178.00,3120.59,3127.47,3070900
1/15/2021,3123.02,3142.55,3095.17,3104.25,4244000
1/19/2021,3107.00,3145.00,3096.00,3120.76,3305100
1/20/2021,3181.99,3279.80,3175.00,3263.38,5309800
1/21/2021,3293.00,3348.55,3289.57,3306.99,4936100
1/22/2021,3304.31,3321.91,3283.16,3292.23,2821900
1/25/2021,3328.50,3363.89,3243.15,3294.00,3749800
1/26/2021,3296.36,3338.00,3282.87,3326.13,2955200
1/27/2021,3341.49,3346.52,3207.08,3232.58,4660200
1/28/2021,3235.04,3301.68,3228.69,3237.62,3149200
1/29/2021,3230.00,3236.99,3184.55,3206.20,4293600
2/1/2021,3242.36,3350.26,3235.03,3342.88,4160200
2/2/2021,3380.00,3427.74,3361.13,3380.00,7098600
2/3/2021,3425.01,3434.00,3308.62,3312.53,7088800
2/4/2021,3330.00,3347.00,3277.75,3331.00,3670700
2/5/2021,3319.00,3377.00,3302.71,3352.15,3620800
2/8/2021,3358.50,3365.00,3304.00,3322.94,3257400
2/9/2021,3312.49,3338.00,3297.84,3305.00,2203500
2/10/2021,3314.00,3317.95,3254.00,3286.58,3151600
2/11/2021,3292.00,3292.00,3248.06,3262.13,2301400
2/12/2021,3250.00,3280.25,3233.31,3277.71,2335300
2/16/2021,3254.05,3308.30,3253.59,3268.95,2574700
2/17/2021,3263.60,3320.91,3259.50,3308.64,3297500
2/18/2021,3282.42,3338.00,3273.94,3328.23,3027400
2/19/2021,3328.23,3333.50,3245.75,3249.90,4305200
2/22/2021,3208.13,3232.32,3172.26,3180.74,3515700
2/23/2021,3127.03,3204.73,3093.60,3194.50,4677200
2/24/2021,3166.75,3171.23,3125.38,3159.53,3011300
2/25/2021,3136.74,3178.26,3047.76,3057.16,4533800
2/26/2021,3095.20,3122.44,3036.70,3092.93,4275900
3/1/2021,3127.89,3149.56,3097.99,3146.14,2729100
3/2/2021,3143.47,3163.52,3087.12,3094.53,2595800
3/3/2021,3081.18,3107.78,2995.00,3005.00,3988700
3/4/2021,3012.00,3058.13,2945.43,2977.57,5481600
3/5/2021,3005.00,3009.00,2881.00,3000.46,5388600
3/8/2021,3015.00,3064.59,2951.31,2951.95,4185000
3/9/2021,3017.99,3090.96,3005.15,3062.85,4030000
3/10/2021,3098.45,3116.46,3030.05,3057.64,3012500
3/11/2021,3104.01,3131.78,3082.93,3113.59,2776400
3/12/2021,3075.00,3098.98,3045.50,3089.49,2421900
3/15/2021,3074.57,3082.24,3032.09,3081.68,2913600
3/16/2021,3104.97,3128.91,3075.86,3091.86,2538800
3/17/2021,3073.22,3173.05,3070.22,3135.73,3118600
3/18/2021,3101.00,3116.63,3025.00,3027.99,3649600
3/19/2021,3029.23,3077.29,3016.63,3074.96,4625400
3/22/2021,3067.85,3126.58,3060.05,3110.87,2902200
3/23/2021,3127.00,3182.00,3120.85,3137.50,3817300
3/24/2021,3151.04,3160.31,3085.15,3087.07,2959000
3/25/2021,3072.99,3109.78,3037.14,3046.26,3563500
3/26/2021,3044.06,3056.66,2996.00,3052.03,3312900
3/29/2021,3055.44,3091.25,3028.45,3075.73,2746000
3/30/2021,3070.01,3073.00,3034.00,3055.29,2337600
3/31/2021,3064.06,3119.33,3062.50,3094.08,3093900
4/1/2021,3117.94,3162.44,3115.55,3161.00,2940300
4/5/2021,3173.00,3235.96,3161.24,3226.73,3334900
4/6/2021,3223.75,3247.31,3217.04,3223.82,2537800
4/7/2021,3233.80,3303.61,3223.65,3279.39,3346200
4/8/2021,3310.90,3324.50,3292.00,3299.30,2812100
4/9/2021,3304.70,3372.20,3288.90,3372.20,4341500
4/12/2021,3355.21,3395.04,3351.15,3379.39,3281800
4/13/2021,3400.85,3432.00,3395.63,3400.00,3315800
4/14/2021,3404.04,3404.13,3326.00,3333.00,3145200
4/15/2021,3371.00,3397.00,3352.00,3379.09,3233600
4/16/2021,3380.00,3406.80,3355.59,3399.44,3186000
4/19/2021,3390.33,3435.93,3360.16,3372.01,2725400
4/20/2021,3373.60,3382.99,3316.00,3334.69,2623000
